ck3_county,eu5_locations
"c_nongdong","gaoligongshan1|nandan_tengcheng|nandian|tengchong|wadian|zhenxi|dian_lake|fumin|kunming|lufeng|songming|yiliang"
"c_nikaea","adranos|bursa|dursunbey|harmancik|iznik|lake_iznik"
"c_ninive","al_sinn|balad|duhok|mosul|qayyarah|sinjar|tal_afar"
"c_novgorod_seversky","hlukhiv|novhorod_siverskyi|verba|voronizh_chernihiv|znobov"
"c_parivi","ballalapura|bangalore|devanahalli|hoskote|kolar|manyapura|nandagiri|anantapur|chittoor|cuddapah|dharmavaram|gandikota|gurramkonda|kadiri|kangundi|medanapalle|pakala|palasamudram|pavagada|penukonda|pottapi|rayachoti|seshachalam_hills|tirupati|vempalle|aimangala|chitradurga|hanagal|magadi|sira|tumkur|uchangidurga"
"c_prusa","adranos|bursa|dursunbey|harmancik|iznik|lake_iznik"
"c_qayaliq","ayagoz|dungene|kayalyk|lepsy|sagabuyen|tansyk|tekeli"
"c_rakcha","gorbatovo|klepiki|melenki|murom|shatur|starodub_votsky"
"c_satala","bayburt|erzincan|erzurum|ilic|kelkit|kemah|kose_mountains_2|mescit_mountains|otlukbeli_mountains|sebinkarahisar|siran|tercan"
"c_satyapura","deodar|idar|palanpur|patan|radhanpur"
"c_shukunzhou","duyangshan|lucheng|luodian|sicheng|tongle|wangmu|xilin"
"c_sif-i-umara","ahel|asir|bastak|kish|siraf"
"c_siyuan","guanyang|liupu|nanling2|qingxiang|xiyan|lechang|mengli|nanling4|qujiang|renhua|ruyuan"
"c_sitti","arabi|awbare|dakkar|dire_dawa|harar|jeldesa"
"c_selge","alaiye|karahisar_i_teke|manavgat|selinti|west_taurus_3|west_taurus_5"
"c_surrah","al_mardamah|al_maslum|al_quway|ar_rayn|halaban|rawdat_al_ard"
"c_suyab","balasagun|dzhul|harandzuvan|kysmyci|nuzket|sargau|soltobe"
"c_tokisara","higashiokitama|kitamogami|minamimogami|nishiokitama"
"c_tobol","bolshoy_uvat|tavdinsky_sloboda|tobolsk|vagay|vikulovo|yurginskoye"
"c_ulleong","goseong|ingnyeong|myeongju|samcheok|tongcheon|uljin|ulleungdo"
"c_upper_ghur","baghran|bost|deh_kundi|gereshk|kajran|musa_qala|paropamisus_mountains3|paropamisus_mountains5|tarinkot|adraskan|azab|firuzkuh_afghanistan|khaysar|paropamisus_mountains2|shindand|awbeh|chishti_sarif|firozkoh|herat|karokh|paropamisus_mountains7|pushang|tulak"
"c_venezia","castelfranco|ceneda|chioggia|conegliano|mestre|treviso|venice"
"c_vairagara","aheri|ambagarh|ballarpur|bhadrachalam|bemetara|bramhapuri|deori|dhamtari|durg|gadchiroli|khairagarh|nandgram|raipur|rajim|sitanadi_hills|sripura|tilda"
"c_wagadugu","koudougou|leo|ouagadougou|po|tiebele|zorgho"
