ck3_county,eu5_locations
"c_MAL_kelantan","kelantan|dungun"
"c_MAL_pahang","pahang|inderapura"
"c_MAL_patani","menara"
"c_MAL_semantan","kelantan|menara|pattani|pulai|sankalakhiri_range|yala"
"c_PHI_bool_and_cebu","bool"
"c_PHI_buglas","binalbagan|ilog"
"c_PHI_butuan","butuan|cabadbaran"
"c_PHI_cagayan_valley","aparri|babuyan_islands|batanes|gattaran|lal_lo|pudtol|tubigarao"
"c_PHI_calagan","surigao"
"c_PHI_cotabato","bislig|butuan|cabadbaran|cantilan|cateel|lake_mainit|langan|surigao|talacogon"
"c_PHI_ibalong","ibalong|daet"
"c_PHI_igorot","balbalan|cordillera_mountains1|cordillera_mountains2|kiyyangan|mallig|tobog"
"c_PHI_ivatan","babuyan|aparri"
"c_PHI_kalilayan","kalilayan|pulilu|malindig"
"c_PHI_kasiguranin","palana"
"c_PHI_lanao","bislig|butuan|cabadbaran|cantilan|cateel|lake_mainit|langan|surigao|talacogon"
"c_PHI_ma-i","mamburao"
"c_PHI_maguindanao","makar"
"c_PHI_mandaya","kankabatok|limasawa|mairete|pangasugan"
"c_PHI_masbate","masbate"
"c_PHI_panay","irong_irong"
"c_PHI_pangasinan","binalatongan|bolinao"
"c_PHI_samar","catarman|borongan"
"c_PHI_samtoy","bigan|kandong"
"c_PHI_sarangani","sarangani"
"c_PHI_south_palawan","balabac_strait|cape_buliluyan|cuyo_west_passage|elibinibid_point|green_island_bay|mindoro_strait|south_china_sea15|south_china_sea16|south_china_sea18|south_china_sea21|south_china_sea23|south_china_sea25|south_china_sea27|south_china_sea28|treacherous_bay"
"c_PHI_sulu","dapitan|panaon|samboangan|sibugay|sindangan|siocon"
"c_PHI_tandaya","kankabatok"
"c_PHI_taytay","taytay|cuyo"
"c_PHI_tondo","tondo|maynila|binangonan"
"c_PHI_zamboanga","tukuran"
"c_SUM_bangka-belitung","kota_kapur"
"c_SUM_barus","barus|singkil|calang"
"c_SUM_bengkulu","bengkulu"
"c_SUM_dharmasraya","dharmasraya"
"c_SUM_east_sumatra","mesuji"
"c_SUM_indragiri","rengat"
"c_SUM_jambi","jambi|tungkal"
"c_SUM_kampar","kampar|siak"
"c_SUM_karang_brahi","karang_brahi"
"c_SUM_lambri","pasai"
"c_SUM_lampung","lampung|menggala|palas_pasemah"
"c_SUM_lingga","tanjungpinang"
"c_SUM_meranti","bera|jerantut|kuala_lipis|kuantan|pahang"
"c_SUM_minangkabau","padang|batan"
"c_SUM_muara_takus","pagaruyung"
"c_SUM_palembang","palembang|musi"
"c_SUM_panai","bahal"
"c_SUM_pasemah","batang_tembesi|berbak|jambi|muara_sabak|rantau_benar|tungkal"
"c_SUM_pekanbaru","eastern_singapore_strait|inner_strait_malacca|johor_coast|kedah_coast|outer_strait_malacca|perak_coast|western_singapore_strait"
"c_SUM_perlak","tamiang"
"c_SUM_riak_nan_berbedur","barisan_mountains1|inderapura|lake_maninjau|lake_singkarak|padang|pagaruyung|pariaman|pasaman|solok|sontang"
"c_SUM_rokan","rokan|bengkalis"
"c_SW_damoguo","mergen"
"c_SW_dongcheziguo","avnagar|chono|khuuchid|lake_ulgain|sangiin_dalai|sorin_nuur|ulgain|uzemchin"
"c_SW_dongruzhe","chaghankhot|gorlos|huolin|lake_chagan|lake_yueliang|taluhe|tuliemao|wafang"
"c_SW_ergunia","baruun_tar_nuur|lake_yakhi|lake_zuun_tooroi|lower_ulz|tsagaan|upper_ulz|yakhi|zyyn_tar_nuur"
"c_SW_fancao","boduna|hulawen|shangjing|shulan|yushu|zhaozhou_jurchen"
"c_SW_gonghejiang","chaghankhot|gorlos|huolin|lake_chagan|lake_yueliang|taluhe|tuliemao|wafang"
"c_SW_hailar","hailar"
"c_SW_heiergun","chit|ingedei|nibuchu|nurchuu|tura|uldurga"
"c_SW_heiheguo","bir_amur|humar|kuanhe|pangu|sahar|tahe"
"c_SW_heilonghean","baitan|kuanhe_xingzhou|limin|liuyuan|niushan|taipingzhuang|xiabancheng|yanshan_mountains1|yixingzhou|zhangsanying"
"c_SW_heilonglin","dalaiketun|nemeri|northern_daqing_lakes|sart|southern_daqing_lakes|talaha|yilaha|zhalong"
"c_SW_hongxingan","wuzhou|liquan"
"c_SW_huangtouguo","bayan_ula|hailar|hulun|xuguit|yimin"
"c_SW_hulunbuir","bars_khot|bayan_tumen|bayantsagaan|dalai_nuur|lake_hulun|menen"
"c_SW_jiqin_hari","chaghankhot|gorlos|huolin|lake_chagan|lake_yueliang|taluhe|tuliemao|wafang"
"c_SW_lingxiguo","abagaita|gegen|hasar|khirkhira|talman_boorj"
"c_SW_luotuoguo","barun_xiabaer|buir_nuur|khalkh|lake_buir|tamsabulag"
"c_SW_lupingyuan","dalaiketun|nemeri|northern_daqing_lakes|sart|southern_daqing_lakes|talaha|yilaha|zhalong"
"c_SW_mengwuo","aga|boorj|qorqonaq_yubur|unda"
"c_SW_nabeiguo","barun_xiabaer|buir_nuur|khalkh|lake_buir|tamsabulag"
"c_SW_pibeihe","baruun_tar_nuur|lake_yakhi|lake_zuun_tooroi|lower_ulz|tsagaan|upper_ulz|yakhi|zyyn_tar_nuur"
"c_SW_powoguo","bayan_ula|hailar|hulun|xuguit|yimin"
"c_SW_puyuzhou","puyu"
"c_SW_ruzhejiang","chaghankhot|gorlos|huolin|lake_chagan|lake_yueliang|taluhe|tuliemao|wafang"
"c_SW_shanbeiguo","buteha|chol|hurle|taizhou_jurchen"
"c_SW_suihua","bayan_susu|hailun|hulan|hvlan|lake_qingken|ougen"
"c_SW_talbai","aga|boorj|qorqonaq_yubur|unda"
"c_SW_xinghuangtou","bayan_ula|hailar|hulun|xuguit|yimin"
"c_SW_xingnabei","bars_khot|bayan_tumen|bayantsagaan|dalai_nuur|lake_hulun|menen|barun_xiabaer|buir_nuur|khalkh|lake_buir|tamsabulag|bayan_ula|hailar|hulun|xuguit|yimin"
"c_SW_zhongcheziguo","matad|sharga_uul|sumtiin|tavan_tolgoi|zara_uul"
"c_SuMa_ajatappareng","tosora"
"c_SuMa_bacan","weda|obi"
"c_SuMa_banawa","donggala|parigi"
"c_SuMa_banggai","banggai"
"c_SuMa_banggai_utara","tojo"
"c_SuMa_buru-sula","bara_buru|kayeli|obi|sanana|taliabu|tifu"
"c_SuMa_butun","bungku|kendari|mori_celebes|sambandete|unaaha"
"c_SuMa_gorontalo","gorontalo|kali"
"c_SuMa_konawe","kendari"
"c_SuMa_luwu","luwu|malangke|palopo|malili"
"c_SuMa_mori","mori|poso"
"c_SuMa_moronene","bungku|kendari|mori_celebes|sambandete|unaaha"
"c_SuMa_raja_ampat","misool"
"c_SuMa_sampaga","cape_belangbelang|cape_bonemanjing|cape_rangas|cape_udung|mandar_bay|pabbiring_islands|palu_bay"
"c_SuMa_seram","bula|hitu|huamual|latu|nunusaku|sahulau|saparua|seram_mountains|werinama"
"c_SuMa_siang","siang"
"c_SuMa_tamboeko","banggai|bulakan|gori_gori|lingketeng|tojo|una_una"
"c_SuMa_ternate","ternate|jailolo"
"c_SuMa_tidore","tidore"
"c_SuMa_wenang","amurang|belang|karakaralong_islands|karatung_island|lake_tondano|manado|sangihe_islands|solimandungan|tabukan"
"c_THAI_phetchaburi","phetchaburi|singkhon"
"c_THAI_takua_pa","takua_pa|chaiya"
"c_THAI_tambralinga","trang"
"c_THAI_tenasserim","tenasserim|mergui|kra_buri"
"c_aachen","aachen|limbourg|duren|prum"
"c_aalborg","aalborg"
"c_aargau","aarau|baden_im_aargau|lake_lucerne|lucerne|wolhusen"
"c_aarhus","aarhus"
"c_abakan","kolchugino|mariinsk|siberian_wasteland_14|verkh_chebula|verkhotomsk"
"c_abauj","bardejov|gonc|kosice|levoca|lubica|presov|turna"
"c_abbadan","bayan"
"c_abivard","khabushan"
"c_abkhazia","anacopia|lata_georgia|pitsunda|sukhumi"
"c_ablastha","besni|east_taurus_2|east_taurus_8|gerger|kahta|kaysun|malatya|samsat"
"c_abomey","abomey"
"c_abruzzi","rieti"
"c_abu_hammad","daw_sud|faras|kalabsha|qasr_ibrim|sai|west_nubian_desert"
"c_abugan","arykbalyk|atbasar|imantau|kak|kokshetau|kozhakol|shoindykol"
"c_abwab","shendi"
"c_abydos","ayvacik|bandirma|bayramic|biga|can|canakkale|gonen|lapseki"
"c_acalapura","kalam|kelapur|gawilgarh"
"c_acampse","artanuji|ispir|kars_mountains_1|khikhani|oltu|panaskerti|parkhali|savsat|tortum|yalnizcam_mountains"
"c_achaia","patras|vostitsa|andravida|kalavryta"
"c_achu","aitbulat|aqkol_lake|aral_karakum_desert|arys_lake|belen_ana|bolgan_ana|hunger_steppe|karakoyin_lake|shalkarteniz_lake|talmas_ata"
"c_acre","acre"
"c_adanse","akwatia|fomena|goaso|kibi|kumasi"
"c_adoni","adoni"
"c_adrianopolis","ahtopol|edirne|kirklareli|kiyikoy|luleburgaz"
"c_aeolis","akhisar|demirci|foca|gordes|kula|lake_marmara|manisa"
"c_aetolia","angelokastron|karpenisi|lake_trichonida|loidoriki|nafpaktos|pindus_mountains11|pindus_mountains12|salona|vonitsa"
"c_afar","assab|balho|obock|rahayta|tadjoura"
"c_afram","dambai|kumawu|yeji"
"c_agadir","agadir|massa"
"c_agairik","achit_nuur|altay_mountains|haerhhana|huysiyn|khovd|khurgan|lake_achit|lake_dayan|lake_durgun|lake_khar|lake_khar_us|lake_khoton|lake_khurgan|lake_markakol|lake_tolbo|mongol_altay|tahiltyn_khotgot|tsagaan_usun"
"c_agaw_meder","chilga|gilgel_beles|guba"
"c_agdeside","amli|flekkefjord|lindesnes|oddernes|otredal|oyestad|sirudal|sondeled"
"c_agenais","agen|marmande|montflanquin"
"c_agrigento","girgenti|caltanisetta"
"c_ahqaf","al_aflaj|al_haddar|laila|qasr_himam|rub_al_khali1"
"c_ahvaz","ahvaz|dowraq|hamidiyeh|hoveyzeh|mosharahat|muhammerah"
"c_aigun","aigun"
"c_ailech","donegal|inishowen|kilmacrennan|raphoe|derry|coleraine|magherafelt"
"c_ain_galakka","ain_galaka|ounianga|qatrun|rabyanah|sahel_corridor03|sahel_corridor13|sahel_corridor15|sahel_corridor16|sahel_corridor17|sahel_corridor18|sahel_corridor19|sherda|tekro|zouar"
"c_aintab","ayntab|dluk|kilis|trapessac"
"c_air","agadez|assode|iferouane|in_gall|sahel_corridor01|sahel_corridor21|sahel_corridor22|takedda|talak|tenere"
"c_airyuk","aitbulat|aqkol_lake|aral_karakum_desert|arys_lake|belen_ana|bolgan_ana|hunger_steppe|karakoyin_lake|shalkarteniz_lake|talmas_ata"
"c_ajaccio","ajaccio|calvi"
"c_ajayameru","ajayameru"
"c_ak-dzulpas","aitbulat|aqkol_lake|aral_karakum_desert|arys_lake|belen_ana|bolgan_ana|hunger_steppe|karakoyin_lake|shalkarteniz_lake|talmas_ata"
"c_ak-taylak","arkat|kaynar_atbai|sarybulak|takhir|zhanaarka|kashkanteniz|kyzylsay|moiynty|mukur|zhamshy"
"c_akhadid","al_ijarah|al_labbah|al_thulayma|al_waqbi|linah|lowqah|zubala|an_nil|nasiriyah|numaniyyah|rusafa|samawa"
"c_aki","aki|geiyo_islands_wastelands|saeki|takata|toyota|yamagata|kamo"
"c_akkel","enare|enare_trask|ivalo|kemijarvi|korvala|lapland_taiga1|muojarvi|north_skanderna|oulujarvi|salla|savukoski|sodankyla|utsjoki|yli_kitka"
"c_akkityk","koskuduk|manysai|shagan|ushkan|zhaksy_karasay"
"c_aksay","aksay"
"c_aksu","aksu|bai_xinjiang|kucha|kumtura|qumbash|shayar|tian_shan2|tian_shan3|uqturpan|barchuk|uch"
"c_aksuyek","almaty|balkhash_lake|boyauli|karakastek|karamergen|kargaly|kurty|saryesik_atyrau_desert|shengeldy|sorbulaq_lake|talkhir|taukum_desert|tian_shan10"
"c_al-arid","al_hajr|diriyah|malham|muzahmiyah|thadiq"
"c_al-asa","al_aflaj|al_haddar|laila|qasr_himam|rub_al_khali1"
"c_al-buhaira","rashid|damanhur|ramsis"
"c_al-gharbiya","al_mima|el_burullus|el_mahalla|fuwa|lake_burullus|lake_idku|samanoud|tidah"
"c_al-haditha","abu_kemal|anah|haditha|jazair|rahba"
"c_al-hasa","ad_dahna5|al_hunayy|al_jafurah1|harad_al_ahsa|khurays|rumah|rumah_jarrarah_corridor|urayrah|yabrin"
"c_al_aqabah","aqaba"
"c_al_jawf","al_jawf|sakaka|al_qara"
"c_aland","handbord|jonkoping|kalmar|kinda|oland|sevede|tjust"
"c_alarcon","alarcon|belmonte|iniesta|jorquera|moya|requena|san_clemente"
"c_albarracin","albarracin|belchite"
"c_albi","albi|castelnaudary"
"c_albret","tartas|la_teste_de_buch"
"c_alcacer_do_sal","alcacer_do_sal|montemor|avis"
"c_alcaniz","alcaniz|cantavieja|caspe|montalban|valderrobres"
"c_alcaraz","alcaraz|huescar|albacete|montiel"
"c_alencon","alencon|mortain|argentan"
"c_aleppo","aleppo|al_bab|dabiq|jabbul|lake_jabbul|manbij|marrat|maskanah|zardana"
"c_alexandretta","al_bab|aleppo|dabiq|jabbul|lake_jabbul|manbij|marrat|maskanah|zardana"
"c_alexandria","alexandria|el_alamein|lake_maryut|matruh|sallum"
"c_aley","altay_forest_wasteland_1|oskemen|shemonayevskoye|ust_kalmanka|zmeinogorsk"
"c_algeciras","algeciras|moron|central_sabaneque|cubanacan|east_cubanacan|east_sabaneque|guamuhaya|magon|ornofay|sabana"
"c_algier","algiers|medea"
"c_alicante","alicante|albacete|chinchilla|jumilla|villena"
"c_allai","chilas"
"c_allaqi","aydhab|badi|deraheib|east_nubian_desert|horn_desert_corridor1|horn_desert_corridor2|horn_desert_corridor3|south_eastern_desert|suakin"
"c_allenstein","barten|elk|lake_mamry|lake_sniardwy|nibork|ostroda|ryn_poland|szczytno|wegorzewo"
"c_almader","almaden|almodovar_del_campo|calatrava|ciudad_real|madrona_range|malagon|manzanares|puertollano"
"c_almaty","almaty|balkhash_lake|boyauli|karakastek|karamergen|kargaly|kurty|saryesik_atyrau_desert|shengeldy|sorbulaq_lake|talkhir|taukum_desert|tian_shan10|kegen"
"c_almeria","almeria|almanzora|baza|filambres_range|gergal|huescar|mojacar|velez_rubio|lorca"
"c_alodia","soba"
"c_along","dibang|gomsi|malinithan|sadiya|siang|siyom|subansiri|tengapani"
"c_alpsee","schongau"
"c_altay","atanuul|atas_bogd|bodonch|bulgan|burqin|chinggil|jeminay|kara_irtysh|lake_jili|lake_ulungur|ulungur|kran"
"c_alto_aragon","jaca"
"c_aluksne","aluksne|gulbene"
"c_alupa","udupi"
"c_alxa","alxa"
"c_amami","east_china_sea4|east_china_sea5|east_china_sea7|hedo_cape|japan_high_sea6|japan_high_sea7|japan_high_sea8|japan_high_sea9|kin_bay|kujira_cape|mifuga|miyako_cape|torinokuchi|zanpa_cape"
"c_amatlus","akjoujt"
"c_amaya","miranda_de_ebro"
"c_amdo","buha|caka|caka_lake|chabcha|dulan|dungkar_amdo|guolimu|kunlun5|qardam|qilianshan4|qinghai_lake|sanjiaocheng"
"c_amhara","aheyya_fagg|gannata_giyorgis|kubar|north_east_ethiopian_mountains|tadbaba"
"c_amida","diyarbekir|egil|ergani|hazro|heni|karacadag|savur"
"c_amiens","amiens|corbie|peronne"
"c_amis","amis|kavalan"
"c_amol","amol|alat|amol_turkmenabad|daya_kathyn|paykend|vardanzi"
"c_amstetten","amstetten|waidhofen"
"c_anbar","al_anbar|ar_rabb"
"c_ancona","ancona|gubbio|camerino"
"c_andamans","austen_harbour|barren_island_coast|indonesia_high_sea4|indonesia_high_sea5|indonesia_high_sea6|indonesia_high_sea7|indonesia_high_sea8|indonesia_high_sea9|inner_nicobar_channel|inner_sombrero_channel|woodmason_bay"
"c_andong","andong|bonghwa|mungyeong|sangju|yeongcheon"
"c_andujar","andujar|jaen|baeza|cazorla|jodar|martos|ubeda"
"c_angerburg","barten|elk|lake_mamry|lake_sniardwy|nibork|ostroda|ryn_poland|szczytno|wegorzewo"
"c_angermanland","anundsjo|grundsunda|harnosand|ramsele|sjalevad|solatunum"
"c_angkor","angkor|banteay_chhmar|damrey_trom|phnom_srok|sdok_kok_thom"
"c_angkor_borey","phnom_penh"
"c_anglesey","anglesey"
"c_angot","aheyya_fagg|gannata_giyorgis|kubar|north_east_ethiopian_mountains|tadbaba"
"c_angouleme","angouleme|chabanais|cognac"
"c_angus","arbroath|dundee|forfar|stonehaven|mar"
"c_anja","bolshoy_kosogol|kortuz|nazarovo|novosyolovo|tatarskaya_tesyu|uzhur"
"c_anjou","angers|bauge|beaupreau|chateau_gontier|le_lude|loudun|passavant|saumur"
"c_anket","boynak|endirey|tarki|temirkhan_shura|terek"
"c_annaba","annaba|cheffia|collo|el_kala|el_milia|guelma|jijel|lake_fetzara|skikda|skikda_mountain|tekouch"
"c_annandale","annan|dumfries"
"c_ansbach","ansbach|uffenheim"
"c_ansongo","ansongo"
"c_antiocheia","antioch|latakia|baniyas|jableh|tartus"
"c_antipatreia","ballsh|berat|debar|devol|durres|elbasan|kavaje|kruje|tirana"
"c_antwerpen","breda"
"c_anzhou","anzhou|dingxing|gaoyang_baoding|gecheng|guixin|xincheng_baoding|anlu|fengle|fushui|jingshan|shipai|zhongxiang|yingshan|yunmeng"
"c_aosta","aosta|chatillonaos|morgex|pennine_alps2|martigny"
"c_aowin","abengourou|apollonia|axim|hemang"
"c_apahunik","tatvan"
"c_apulia","acerenza"
"c_aqenganggyai","bayan_har_mountains2|dalungsai|dorger_lake|drichu|duolundu|hoh_sai_lake|hoh_xil|hoh_xil_lake|jilibulake|jurhen_ui|kunlun|kunlun4|lebxewudan_lake|qumarleb|sharu|tanggula2|ulan_ui_lake|xijir_ulan_lake|zhognai_lake"
"c_aqiq","ad_dawasir|aqiq_banu_uqayi|ar_rakbah1|ar_rakbah2|habiyah|tamrah"
"c_aqtobe","gebergeyel|irek|khaiylmysh|khaqmar|shikashin|yuldibay"
"c_aquileia","aquileia|trieste|udine"
"c_arad","arad"
"c_aral_karakum","aitbulat|aqkol_lake|aral_karakum_desert|arys_lake|belen_ana|bolgan_ana|hunger_steppe|karakoyin_lake|shalkarteniz_lake|talmas_ata"
"c_aralkizil","aspara|khantau|kulan|merki|sretenskoe|tasuktul|tolekskoe"
"c_aran","ganja|barda"
"c_arawan","araouane|east_el_djouf|sahel_corridor09|sahel_corridor10|sahel_corridor11|sahel_corridor24|taghaza|tanezrouft|taoudenni"
"c_arbanon","kruje"
"c_arborea","ales|oristano|sorgono|terralba|isili"
"c_ardabil","ardabil|ahar|aslanduz|kaleybar|khiyav|mardanaqom|nir|qahqaheh|qaradagh_mountains1|qaradagh_mountains2|khalkhal"
"c_ardestan","ardestan|anarak|aqda|nain|natanz|zavareh"
"c_arezzo","arezzo|cortona|sansepolcro"
"c_argyll","ardtornish|ben_nevis|carn_eige|cowal|inverary|kintyre|lochaber|oban"
"c_arigh","asuf|debila|grand_erg_occidental_east2|northern_tedemait|tamacine|touggourt|touggourt_ouargla_corridor"
"c_ariksar","gegong|hengduanshan8|longtang|mangge|sershul"
"c_arkalyk","arykbalyk|atbasar|imantau|kak|kokshetau|kozhakol|shoindykol"
"c_arkat","arkat"
"c_armagnac","auch|lectoure|lisle_jourdain|mirande|nogaro"
"c_arnhem","arnhem|apeldoorn|harderwijk"
"c_arnsberg","arnsberg"
"c_aror","aror"
"c_arrajan","jannaba"
"c_aru","banda_island|kobroor|ohoi_ewur|trangan|wokam"
"c_arusi","boke"
"c_arzhan","den_terek|khemchik|tannu_ola_mountains1|ulug|usun|western_sayan_mountains"
"c_asfi","asfi"
"c_ashir","amdoukal|bou_saada|burg_bu_mountain1|burg_bu_mountain2|chott_el_hodna|el_kantara|maqqara|msila"
"c_ashli","simbirsk|altyshevo|atrat|batyrevo|cherdakly|melekess|pokrovskoye|staraya_mayna|tetyushi"
"c_ashmaka","qandhar"
"c_asir","asir"
"c_asirgarh","asirgarh|khandwa"
"c_asni","asni"
"c_aso","aso"
